Date,bitcoin,russel,nasdaq
2016-05-04,446.721985,2051.120117,4309.75
2016-05-05,447.976013,2050.629883,4300.25
2016-05-06,459.602997,2057.139893,4328.25
2016-05-09,460.483002,2058.689941,4335.75
2016-05-10,450.894989,2084.389893,4392.0
2016-05-11,452.727997,2064.459961,4351.5
2016-05-12,454.765991,2064.110107,4334.75
2016-05-13,455.670013,2046.609985,4324.0
2016-05-16,454.162994,2066.659912,4375.25
2016-05-17,453.78299,2047.209961,4319.5
2016-05-18,454.618988,2047.630005,4332.25
2016-05-19,438.714996,2040.040039,4317.25
2016-05-20,442.675995,2052.320068,4362.25
2016-05-23,444.154999,2048.040039,4352.5
2016-05-24,445.980988,2076.060059,4445.25
2016-05-25,449.598999,2090.540039,4474.75
2016-05-26,453.384003,2090.100098,4492.25
2016-05-27,473.463989,2099.060059,4510.0
2016-05-31,531.385986,2096.949951,4524.25
2016-06-01,536.919983,2099.330078,4521.5
2016-06-02,537.971985,2105.26001,4532.25
2016-06-03,569.19397,2099.129883,4509.0
2016-06-06,585.536987,2109.409912,4525.5
2016-06-07,576.596985,2112.129883,4514.25
2016-06-08,581.64502,2119.120117,4519.0
2016-06-09,574.630005,2115.47998,4512.0
2016-06-10,577.469971,2096.070068,4465.75
2016-06-13,704.375977,2079.060059,4426.25
2016-06-14,685.559021,2075.320068,4425.25
2016-06-15,694.468994,2071.5,4412.75
2016-06-16,766.307983,2077.98999,4424.75
2016-06-17,748.908997,2071.219971,4417.25
2016-06-20,737.226013,2083.25,4390.0
2016-06-21,666.651978,2088.899902,4400.25
2016-06-22,596.116028,2085.449951,4394.5
2016-06-23,623.97699,2113.320068,4462.5
2016-06-24,665.299011,2037.410034,4262.25
2016-06-27,655.275024,2000.540039,4178.0
2016-06-28,647.000977,2036.089966,4281.0
2016-06-29,639.890015,2070.77002,4362.75
2016-06-30,673.336975,2098.860107,4407.0
2016-07-01,676.296021,2102.949951,4433.25
2016-07-05,670.627014,2088.550049,4404.0
2016-07-06,677.330994,2099.72998,4439.5
2016-07-07,640.562012,2097.899902,4452.25
2016-07-08,666.52301,2129.899902,4517.25
2016-07-11,647.658997,2137.159912,4549.5
2016-07-12,664.551025,2152.139893,4569.75
2016-07-13,654.468018,2152.429932,4561.25
2016-07-14,658.078003,2163.75,4590.0
2016-07-15,663.255005,2161.73999,4579.25
2016-07-18,673.106018,2166.889893,4608.25
2016-07-19,672.864014,2163.780029,4606.5
2016-07-20,665.684998,2173.02002,4650.5
2016-07-21,665.012024,2165.169922,4638.25
2016-07-22,650.619019,2175.030029,4657.25
2016-07-25,654.096985,2168.47998,4653.75
2016-07-26,651.783997,2169.179932,4663.75
2016-07-27,654.35199,2166.580078,4707.75
2016-07-28,655.034973,2170.060059,4719.75
2016-07-29,656.992004,2173.600098,4726.75
2016-08-01,606.271973,2170.840088,4744.5
2016-08-02,547.465027,2157.030029,4714.25
2016-08-03,566.35498,2163.790039,4728.25
2016-08-04,578.289001,2164.25,4743.75
2016-08-05,575.04303,2182.870117,4783.0
2016-08-08,591.054016,2180.889893,4779.25
2016-08-09,587.801025,2181.73999,4791.75
2016-08-10,592.103027,2175.48999,4781.5
2016-08-11,589.119995,2185.790039,4800.0
2016-08-12,587.559021,2184.050049,4804.25
2016-08-15,567.23999,2190.149902,4822.75
2016-08-16,577.439026,2178.149902,4798.5
2016-08-17,573.216003,2182.219971,4804.0
2016-08-18,574.317993,2187.02002,4808.5
2016-08-19,575.630005,2183.870117,4807.0
2016-08-22,586.752991,2182.639893,4811.75
2016-08-23,583.414978,2186.899902,4817.0
2016-08-24,580.182007,2175.439941,4786.25
2016-08-25,577.760986,2172.469971,4782.25
2016-08-26,579.651001,2169.040039,4785.75
2016-08-29,574.106995,2180.379883,4793.25
2016-08-30,577.502991,2176.120117,4776.0
2016-08-31,575.471985,2170.949951,4773.75
2016-09-01,572.302979,2170.860107,4777.5
2016-09-02,575.536987,2179.97998,4795.25
2016-09-06,610.435974,2186.47998,4827.5
2016-09-07,614.544006,2186.159912,4828.75
2016-09-08,626.315979,2181.300049,4796.0
2016-09-09,622.861023,2127.810059,4671.0
2016-09-12,608.242981,2159.040039,4766.75
2016-09-13,609.241028,2127.02002,4727.75
2016-09-14,610.684021,2125.77002,4732.5
2016-09-15,607.155029,2147.26001,4817.75
2016-09-16,606.973022,2139.159912,4817.0
2016-09-19,609.22699,2139.120117,4794.25
2016-09-20,608.312012,2139.76001,4798.5
2016-09-21,597.148987,2163.120117,4850.0
2016-09-22,596.297974,2177.179932,4886.25
2016-09-23,602.84198,2164.689941,4856.5
2016-09-26,608.04303,2146.100098,4815.0
2016-09-27,606.166016,2159.929932,4860.75
2016-09-28,604.728027,2171.370117,4868.25
2016-09-29,605.692993,2151.129883,4844.25
2016-09-30,609.734985,2168.27002,4870.25
2016-10-03,612.132996,2161.199951,4865.75
2016-10-04,610.203979,2150.48999,4857.5
2016-10-05,612.510986,2159.72998,4873.5
2016-10-06,613.020996,2160.77002,4872.0
2016-10-07,617.120972,2153.73999,4859.0
2016-10-11,641.072021,2136.72998,4827.0
2016-10-12,636.192017,2139.179932,4813.5
2016-10-13,636.786011,2132.550049,4796.0
2016-10-14,640.377991,2132.97998,4804.25
2016-10-17,639.192993,2126.5,4803.25
2016-10-18,637.960022,2139.600098,4827.0
2016-10-19,630.52002,2144.290039,4830.25
2016-10-20,630.856995,2141.340088,4843.75
2016-10-21,632.828003,2141.159912,4843.25
2016-10-24,653.760986,2151.330078,4902.75
2016-10-25,657.588013,2143.159912,4886.0
2016-10-26,678.304016,2139.429932,4853.75
2016-10-27,688.312988,2133.040039,4807.0
2016-10-28,689.651001,2126.409912,4806.0
2016-10-31,700.971985,2126.149902,4796.75
2016-11-01,729.79303,2111.719971,4757.25
2016-11-02,740.828979,2097.939941,4716.75
2016-11-03,688.700012,2088.659912,4674.5
2016-11-04,703.234985,2085.179932,4657.75
2016-11-07,703.130981,2131.52002,4775.75
2016-11-08,709.848022,2139.560059,4802.25
2016-11-09,723.27301,2163.26001,4820.5
2016-11-10,715.533997,2167.47998,4743.75
2016-11-14,705.020996,2164.199951,4694.5
2016-11-15,711.619019,2180.389893,4766.0
2016-11-16,744.197998,2176.939941,4783.25
