,gold,bitcoin,cpi,oil
,close,close,close,close
date,,,,
2012-02-15,1733.4,4.3,26.23,102.14
2012-02-16,1733.7,4.3,26.21,102.64
2012-02-17,1731.3,4.4,26.24,103.6
2012-02-21,1764.1,4.3,26.24,106.25
2012-02-22,1776.8,4.4,26.25,106.28
2012-02-23,1792.0,5.0,26.29,107.83
2012-02-24,1782.0,5.0,26.33,109.77
2012-02-27,1780.4,5.0,26.35,108.56
2012-02-28,1793.9,4.9,26.35,106.55
2012-02-29,1716.6,4.9,26.36,107.07
2012-03-01,1727.6,4.9,26.24,108.84
2012-03-02,1715.2,4.7,26.25,106.7
2012-03-05,1709.3,5.0,26.24,106.72
2012-03-06,1677.5,5.0,26.21,104.7
2012-03-07,1689.4,4.9,26.15,106.16
2012-03-08,1704.1,4.9,26.17,106.58
2012-03-09,1716.9,4.9,26.2,107.87
2012-03-12,1705.0,4.9,26.23,106.84
2012-03-13,1699.3,5.3,26.21,107.24
2012-03-14,1647.7,5.4,26.2,105.95
2012-03-15,1664.2,5.3,26.09,105.65
2012-03-16,1660.5,5.3,26.13,107.58
2012-03-19,1672.1,4.7,26.15,108.56
2012-03-20,1651.7,4.8,26.14,106.07
2012-03-21,1655.0,4.8,26.11,107.27
2012-03-22,1647.2,4.7,26.14,105.35
2012-03-23,1667.3,4.7,26.11,106.87
2012-03-26,1690.6,4.6,26.18,107.03
2012-03-27,1690.1,4.8,26.24,107.33
2012-03-28,1662.9,4.8,26.23,105.41
2012-03-29,1657.2,4.8,26.2,102.78
2012-03-30,1674.3,4.9,26.19,103.02
2012-04-02,1682.2,5.0,26.16,105.23
2012-04-03,1674.4,4.9,26.21,104.01
2012-04-04,1616.4,4.9,26.12,101.47
2012-04-05,1632.4,4.9,26.08,103.31
2012-04-09,1646.3,4.9,26.1,102.46
2012-04-10,1663.0,4.8,26.14,101.02
2012-04-11,1662.6,4.9,26.12,103.18
2012-04-12,1682.8,4.9,26.12,104.1
2012-04-13,1662.4,4.9,26.17,103.32
2012-04-16,1651.9,4.9,26.15,103.37
2012-04-17,1653.3,5.0,26.15,104.64
2012-04-18,1641.8,5.1,26.19,103.12
2012-04-19,1643.6,5.1,26.16,102.72
2012-04-20,1645.0,5.3,26.15,103.88
2012-04-23,1634.8,5.0,26.16,103.11
2012-04-24,1646.0,5.1,26.15,103.55
2012-04-25,1644.6,5.1,26.15,104.12
2012-04-26,1662.9,5.1,26.17,104.55
2012-04-27,1667.2,5.1,26.23,104.93
2012-04-30,1666.5,4.9,26.24,104.87
2012-05-01,1664.7,5.0,26.23,106.16
2012-05-02,1656.3,5.1,26.23,105.22
2012-05-03,1637.0,5.1,26.23,102.54
2012-05-04,1647.4,5.1,26.17,98.49
2012-05-07,1641.4,5.1,26.13,97.94
2012-05-08,1604.0,5.1,26.13,97.01
2012-05-09,1593.7,5.0,26.1,86.5
2012-05-10,1597.8,4.8,26.06,97.41
2012-05-11,1586.3,5.0,26.07,96.49
2012-05-14,1563.2,5.0,26.06,95.13
2012-05-15,1559.3,5.0,26.03,94.35
2012-05-16,1538.7,5.1,26.01,93.19
2012-05-17,1577.1,5.1,26.0,92.94
2012-05-18,1594.2,5.1,26.04,91.8
2012-05-21,1591.0,5.1,26.03,92.86
2012-05-22,1578.8,5.1,26.08,91.85
2012-05-23,1550.6,5.1,26.01,89.9
2012-05-24,1559.8,5.1,26.02,90.66
2012-05-25,1571.2,5.2,26.01,90.86
2012-05-29,1551.0,5.2,26.03,90.76
2012-05-30,1565.7,5.1,26.03,87.82
2012-05-31,1564.2,5.2,26.07,86.53
2012-06-01,1622.1,5.3,26.09,83.23
2012-06-04,1613.9,5.3,26.17,83.98
2012-06-05,1616.9,5.4,26.15,84.29
2012-06-06,1634.2,5.5,26.13,85.02
2012-06-07,1588.0,5.6,26.13,84.82
2012-06-08,1591.4,5.6,26.1,84.1
2012-06-11,1596.8,5.6,26.12,82.7
2012-06-12,1613.8,5.7,26.1,83.62
2012-06-13,1619.4,5.9,26.12,82.92
2012-06-14,1619.6,5.9,26.15,84.22
2012-06-15,1628.1,6.5,26.18,84.33
2012-06-18,1627.0,6.3,26.22,83.6
2012-06-19,1623.2,6.5,26.24,84.35
2012-06-20,1615.8,6.7,26.23,81.45
2012-06-21,1565.5,6.7,26.22,78.2
